grain,limit,radius,bac,accuracy
15,15,0.01,0.8049537897893672,0.8083333333333333
15,15,0.03,0.79638804997281,0.7990740740740742
15,15,0.05,0.7981400693100987,0.8
15,15,0.07,0.8047435601333284,0.8064814814814815
15,15,0.09,0.7844305003313786,0.787962962962963
15,15,0.11,0.804794866993773,0.8055555555555556
15,15,0.13,0.7902738649856775,0.7925925925925925
15,15,0.15,0.790656498746969,0.7944444444444445
15,15,0.17,0.812653101228209,0.8157407407407409
15,15,0.19,0.8059021490131049,0.8083333333333333
0.21,15,0.8162393577449631,15,heart,0.8166666666666667
15,15,0.23,0.7981007985635772,0.7981481481481482
15,15,0.25,0.7974866387052658,0.8009259259259259
15,15,0.27,0.7978328573873485,0.8027777777777778
15,15,0.29,0.7998577979431228,0.8037037037037036
