grain,limit,radius,bac,accuracy
15,15,0.01,0.9359299265419381,0.9433333333333334
15,15,0.03,0.9386208838440796,0.9455555555555556
15,15,0.05,0.9386208838440796,0.9455555555555556
15,15,0.07,0.9386208838440796,0.9455555555555556
15,15,0.09,0.9386208838440796,0.9455555555555556
15,15,0.11,0.9386208838440796,0.9455555555555556
15,15,0.13,0.9386208838440796,0.9455555555555556
0.15,15,0.9386208838440796,15,iris,0.9455555555555556
15,15,0.17,0.9386208838440796,0.9455555555555556
15,15,0.19,0.9386208838440796,0.9455555555555556
15,15,0.21,0.9386208838440796,0.9455555555555556
15,15,0.23,0.9386208838440796,0.9455555555555556
15,15,0.25,0.9386208838440796,0.9455555555555556
15,15,0.27,0.9386208838440796,0.9455555555555556
15,15,0.29,0.9386208838440796,0.9455555555555556
