grain,limit,radius,bac,accuracy
15,15,0.01,0.8175616827016968,0.8126811594202896
15,15,0.03,0.7983130030406769,0.7971014492753623
15,15,0.05,0.8396539197134342,0.8358695652173912
15,15,0.07,0.8125684420347727,0.808695652173913
15,15,0.09,0.7887622129849519,0.7887681159420289
15,15,0.11,0.8390646759097369,0.8347826086956521
15,15,0.13,0.7893306862981945,0.7876811594202898
15,15,0.15,0.8285432066327374,0.8253623188405796
15,15,0.17,0.8191276607857846,0.8155797101449276
15,15,0.19,0.8097569719225426,0.8072463768115942
15,15,0.21,0.8207171901052883,0.8170289855072465
15,15,0.23,0.8221471074237394,0.8184782608695652
0.25,15,0.8633202459820563,15,australian,0.8586956521739131
15,15,0.27,0.8443323621013306,0.8380434782608697
15,15,0.29,0.8252994825004617,0.8188405797101449
