grain,limit,radius,bac,accuracy
1,15,0.09,0.5,0.4444444444444445
3,15,0.09,0.7940321312023704,0.8
5,15,0.09,0.8054513801280828,0.8083333333333333
7,15,0.09,0.8028554315809207,0.8046296296296298
9,15,0.09,0.7952017779527456,0.7962962962962963
11,15,0.09,0.7878506477628576,0.7907407407407407
13,15,0.09,0.7893404945435047,0.7916666666666666
15,15,0.09,0.7939427760394606,0.799074074074074
17,15,0.09,0.8033200858298606,0.8046296296296296
19,15,0.09,0.7906299866781398,0.7935185185185185
